Air_Cost_Multiplier,Lead_Time_Reduction_Factor,Total_Cost_Increase_Pct,Total_LT_Reduction_Pct,Efficiency_Ratio
3.0,0.6,71.26013466660662,12.68058575003077,0.1779478218692316
3.0,0.5,71.26013466660662,10.107315722548096,0.14183688776109638
3.0,0.4,71.26013466660662,7.534045695065419,0.10572595365296113
3.0,0.30000000000000004,71.26013466660662,4.960775667582759,0.06961501954482609
3.0,0.19999999999999996,71.26013466660662,2.387505640100083,0.033504085436690846
5.0,0.6,140.4492903557422,12.68058575003077,0.09028586558118079
5.0,0.5,140.4492903557422,10.107315722548096,0.07196416369885107
5.0,0.4,140.4492903557422,7.534045695065419,0.05364246181652134
5.0,0.30000000000000004,140.4492903557422,4.960775667582759,0.035320759934191724
5.0,0.19999999999999996,140.4492903557422,2.387505640100083,0.016999058051861998
7.0,0.6,209.6384460448777,12.68058575003077,0.06048788277755223
7.0,0.5,209.6384460448777,10.107315722548096,0.048213082634587
7.0,0.4,209.6384460448777,7.534045695065419,0.03593828249162175
7.0,0.30000000000000004,209.6384460448777,4.960775667582759,0.023663482348656582
7.0,0.19999999999999996,209.6384460448777,2.387505640100083,0.011388682205691341
9.0,0.6,278.8276017340133,12.68058575003077,0.04547822981358702
9.0,0.5,278.8276017340133,10.107315722548096,0.036249337080300745
9.0,0.4,278.8276017340133,7.534045695065419,0.027020444347014463
9.0,0.30000000000000004,278.8276017340133,4.960775667582759,0.017791551613728238
9.0,0.19999999999999996,278.8276017340133,2.387505640100083,0.008562658880441961
12.0,0.6,382.6113352677166,12.68058575003077,0.03314221138053333
12.0,0.5,382.6113352677166,10.107315722548096,0.02641666566275648
12.0,0.4,382.6113352677166,7.534045695065419,0.019691119944979622
12.0,0.30000000000000004,382.6113352677166,4.960775667582759,0.012965574227202807
12.0,0.19999999999999996,382.6113352677166,2.387505640100083,0.006240028509425954
